X,Y,AP1 RTT(mm),AP2 RTT(mm),AP3 RTT(mm),AP4 RTT(mm),AP5 RTT(mm),AP1 RSS(dBm),AP2 RSS(dBm),AP3 RSS(dBm),AP4 RSS(dBm),AP5 RSS(dBm),LOS APs
0.0,1.0,100000.0,3148.0,10791.0,29360.0,29653.0,-200.0,-67.0,-72.0,-89.0,-86.0,
0.0,1.0,100000.0,3054.0,10801.0,29741.0,29673.0,-200.0,-68.0,-74.0,-90.0,-87.0,
0.0,1.0,100000.0,3148.0,10716.0,29473.0,29663.0,-200.0,-68.0,-74.0,-91.0,-87.0,
0.0,1.0,100000.0,3077.0,10760.0,29716.0,29663.0,-200.0,-68.0,-73.0,-91.0,-87.0,
0.0,1.0,100000.0,2974.0,10638.0,29710.0,29619.0,-200.0,-68.0,-74.0,-92.0,-86.0,
0.0,1.0,100000.0,2976.0,10720.0,29588.0,29629.0,-200.0,-68.0,-74.0,-91.0,-86.0,
0.0,1.0,100000.0,2885.0,10679.0,29313.0,29785.0,-200.0,-68.0,-74.0,-91.0,-87.0,
0.0,1.0,100000.0,2988.0,10804.0,29476.0,29738.0,-200.0,-68.0,-73.0,-90.0,-87.0,
0.0,1.0,100000.0,2796.0,10801.0,29585.0,29704.0,-200.0,-68.0,-73.0,-90.0,-87.0,
0.0,1.0,100000.0,3049.0,10944.0,29748.0,29626.0,-200.0,-68.0,-74.0,-90.0,-87.0,
0.0,1.0,100000.0,2880.0,10998.0,29713.0,29595.0,-200.0,-68.0,-73.0,-89.0,-86.0,
0.0,1.0,100000.0,2916.0,11110.0,29363.0,29713.0,-200.0,-68.0,-74.0,-89.0,-88.0,
0.0,1.0,100000.0,2937.0,10998.0,29463.0,29657.0,-200.0,-68.0,-74.0,-89.0,-87.0,
0.0,1.0,100000.0,2962.0,10963.0,29557.0,29782.0,-200.0,-69.0,-73.0,-89.0,-87.0,
0.0,1.0,100000.0,3023.0,10995.0,29395.0,29704.0,-200.0,-69.0,-74.0,-89.0,-87.0,
0.0,1.0,100000.0,2880.0,11026.0,29507.0,29660.0,-200.0,-68.0,-74.0,-87.0,-86.0,
0.0,1.0,100000.0,3080.0,10960.0,29588.0,29666.0,-200.0,-68.0,-74.0,-88.0,-87.0,
0.0,1.0,100000.0,2878.0,11035.0,29613.0,29735.0,-200.0,-68.0,-74.0,-89.0,-86.0,
0.0,1.0,100000.0,3077.0,10840.0,29644.0,29673.0,-200.0,-68.0,-74.0,-90.0,-86.0,
0.0,1.0,100000.0,2852.0,10801.0,29423.0,29754.0,-200.0,-68.0,-75.0,-89.0,-86.0,
0.0,1.0,100000.0,2967.0,10760.0,29557.0,29673.0,-200.0,-68.0,-75.0,-90.0,-85.0,
0.0,1.0,100000.0,2948.0,10879.0,29513.0,29698.0,-200.0,-68.0,-74.0,-89.0,-86.0,
0.0,1.0,100000.0,2822.0,10957.0,29316.0,29779.0,-200.0,-68.0,-75.0,-90.0,-87.0,
0.0,1.0,100000.0,3077.0,10985.0,29588.0,29788.0,-200.0,-68.0,-74.0,-89.0,-86.0,
0.0,1.0,100000.0,3143.0,11038.0,29279.0,29826.0,-200.0,-68.0,-74.0,-89.0,-87.0,
0.0,1.0,100000.0,2934.0,10873.0,29698.0,29748.0,-200.0,-68.0,-74.0,-90.0,-86.0,
0.0,1.0,100000.0,2873.0,10991.0,29501.0,29748.0,-200.0,-69.0,-75.0,-89.0,-87.0,
0.0,1.0,100000.0,3049.0,10954.0,29310.0,29676.0,-200.0,-68.0,-75.0,-89.0,-87.0,
0.0,1.0,100000.0,3026.0,10794.0,29776.0,29657.0,-200.0,-69.0,-75.0,-89.0,-86.0,
0.0,1.0,100000.0,2822.0,10801.0,29620.0,29660.0,-200.0,-68.0,-73.0,-91.0,-87.0,
0.0,1.0,100000.0,2859.0,10563.0,29235.0,29585.0,-200.0,-68.0,-74.0,-91.0,-87.0,
0.0,1.0,100000.0,2794.0,10720.0,29241.0,29666.0,-200.0,-68.0,-72.0,-91.0,-87.0,
0.0,1.0,100000.0,2873.0,10560.0,29360.0,29591.0,-200.0,-67.0,-73.0,-92.0,-88.0,
0.0,1.0,100000.0,2965.0,10673.0,29507.0,29591.0,-200.0,-67.0,-73.0,-90.0,-87.0,
0.0,1.0,100000.0,2965.0,10532.0,29510.0,29588.0,-200.0,-67.0,-72.0,-89.0,-86.0,
0.0,1.0,100000.0,2852.0,10607.0,29313.0,29616.0,-200.0,-67.0,-73.0,-91.0,-87.0,
0.0,1.0,100000.0,2934.0,10726.0,29716.0,29698.0,-200.0,-68.0,-73.0,-92.0,-86.0,
0.0,1.0,100000.0,2993.0,10798.0,29598.0,29663.0,-200.0,-68.0,-72.0,-90.0,-86.0,
0.0,1.0,100000.0,3047.0,10682.0,29394.0,29748.0,-200.0,-67.0,-73.0,-90.0,-85.0,
0.0,1.0,100000.0,100000.0,10766.0,29541.0,29741.0,-200.0,-200.0,-73.0,-90.0,-85.0,
0.0,1.0,100000.0,100000.0,10791.0,29354.0,29626.0,-200.0,-200.0,-73.0,-90.0,-85.0,
0.0,1.0,100000.0,2883.0,10841.0,29201.0,29701.0,-200.0,-67.0,-73.0,-90.0,-85.0,
0.0,1.0,100000.0,2901.0,10876.0,29326.0,29666.0,-200.0,-68.0,-74.0,-89.0,-86.0,
0.0,1.0,100000.0,2831.0,11032.0,28894.0,29704.0,-200.0,-68.0,-74.0,-89.0,-87.0,
0.0,1.0,100000.0,2789.0,10638.0,29504.0,29582.0,-200.0,-68.0,-73.0,-90.0,-87.0,
0.0,1.0,100000.0,2829.0,10923.0,29520.0,29595.0,-200.0,-68.0,-72.0,-91.0,-87.0,
0.0,1.0,100000.0,5862.0,10454.0,29707.0,29666.0,-200.0,-68.0,-73.0,-90.0,-87.0,
0.0,1.0,100000.0,5988.0,10710.0,29210.0,29735.0,-200.0,-67.0,-74.0,-90.0,-87.0,
0.0,1.0,100000.0,3049.0,10926.0,29360.0,29623.0,-200.0,-68.0,-74.0,-91.0,-86.0,
0.0,1.0,100000.0,2906.0,10613.0,30829.0,29748.0,-200.0,-68.0,-73.0,-88.0,-87.0,
0.0,1.0,100000.0,2995.0,10685.0,30638.0,29557.0,-200.0,-66.0,-73.0,-89.0,-86.0,
0.0,1.0,100000.0,2822.0,10529.0,29829.0,29707.0,-200.0,-67.0,-74.0,-92.0,-87.0,
0.0,1.0,100000.0,3087.0,10904.0,29394.0,29663.0,-200.0,-68.0,-73.0,-89.0,-87.0,
0.0,1.0,100000.0,2965.0,10719.0,29391.0,29635.0,-200.0,-67.0,-75.0,-91.0,-86.0,
0.0,1.0,100000.0,2744.0,10488.0,29979.0,29823.0,-200.0,-67.0,-75.0,-89.0,-86.0,
0.0,1.0,100000.0,2878.0,10682.0,30019.0,29704.0,-200.0,-67.0,-74.0,-88.0,-87.0,
0.0,1.0,100000.0,2958.0,10557.0,29629.0,29676.0,-200.0,-67.0,-76.0,-90.0,-88.0,
0.0,1.0,100000.0,2852.0,10482.0,29551.0,29660.0,-200.0,-68.0,-75.0,-90.0,-88.0,
0.0,1.0,100000.0,3049.0,10648.0,29898.0,29629.0,-200.0,-67.0,-75.0,-90.0,-88.0,
0.0,1.0,100000.0,4223.0,10632.0,29732.0,29623.0,-200.0,-67.0,-76.0,-90.0,-88.0,
1.0,0.0,100000.0,3495.0,12991.0,27166.0,30763.0,-200.0,-67.0,-68.0,-91.0,-91.0,
1.0,0.0,100000.0,3384.0,13012.0,26976.0,30682.0,-200.0,-69.0,-71.0,-95.0,-92.0,
1.0,0.0,100000.0,3588.0,12637.0,26691.0,31235.0,-200.0,-68.0,-70.0,-92.0,-91.0,
1.0,0.0,100000.0,3851.0,12879.0,27479.0,30913.0,-200.0,-66.0,-72.0,-94.0,-94.0,
1.0,0.0,100000.0,3994.0,12482.0,27132.0,31148.0,-200.0,-67.0,-70.0,-92.0,-92.0,
1.0,0.0,100000.0,4137.0,12507.0,26816.0,31304.0,-200.0,-66.0,-71.0,-92.0,-93.0,
1.0,0.0,100000.0,3757.0,12172.0,26776.0,30720.0,-200.0,-66.0,-71.0,-94.0,-89.0,
1.0,0.0,100000.0,3464.0,12344.0,26854.0,30679.0,-200.0,-67.0,-71.0,-96.0,-89.0,
1.0,0.0,100000.0,3551.0,12513.0,26813.0,30873.0,-200.0,-66.0,-70.0,-96.0,-91.0,
1.0,0.0,100000.0,3813.0,12635.0,26976.0,30757.0,-200.0,-66.0,-70.0,-95.0,-91.0,
1.0,0.0,100000.0,3731.0,12526.0,27004.0,30963.0,-200.0,-65.0,-70.0,-93.0,-91.0,
1.0,0.0,100000.0,4545.0,12598.0,26807.0,31151.0,-200.0,-67.0,-71.0,-95.0,-92.0,
1.0,0.0,100000.0,3637.0,12476.0,27166.0,30919.0,-200.0,-66.0,-70.0,-96.0,-92.0,
1.0,0.0,100000.0,3644.0,12482.0,27004.0,30710.0,-200.0,-67.0,-70.0,-97.0,-93.0,
1.0,0.0,100000.0,3558.0,12441.0,27354.0,30841.0,-200.0,-66.0,-70.0,-97.0,-91.0,
1.0,0.0,100000.0,3588.0,12479.0,26616.0,30807.0,-200.0,-66.0,-70.0,-98.0,-93.0,
1.0,0.0,100000.0,4139.0,12798.0,100000.0,31188.0,-200.0,-67.0,-71.0,-200.0,-93.0,
1.0,0.0,100000.0,3930.0,12876.0,27710.0,31232.0,-200.0,-68.0,-71.0,-93.0,-94.0,
1.0,0.0,100000.0,4076.0,12898.0,27513.0,31379.0,-200.0,-68.0,-71.0,-97.0,-94.0,
1.0,0.0,100000.0,3935.0,12837.0,27513.0,31354.0,-200.0,-68.0,-71.0,-97.0,-93.0,
1.0,0.0,100000.0,3701.0,12741.0,26735.0,31191.0,-200.0,-66.0,-70.0,-92.0,-92.0,
1.0,0.0,100000.0,3741.0,12991.0,26810.0,31304.0,-200.0,-68.0,-71.0,-93.0,-96.0,
1.0,0.0,100000.0,3755.0,13015.0,26660.0,31501.0,-200.0,-67.0,-73.0,-93.0,-96.0,
1.0,0.0,100000.0,4132.0,12676.0,27048.0,31038.0,-200.0,-68.0,-72.0,-95.0,-94.0,
1.0,0.0,100000.0,3757.0,12669.0,26863.0,31151.0,-200.0,-68.0,-70.0,-93.0,-95.0,
1.0,0.0,100000.0,3464.0,12791.0,27398.0,31232.0,-200.0,-68.0,-71.0,-94.0,-92.0,
1.0,0.0,100000.0,3673.0,12719.0,26651.0,31538.0,-200.0,-66.0,-70.0,-96.0,-94.0,
