X,Y,AP1 RTT(mm),AP2 RTT(mm),AP3 RTT(mm),AP4 RTT(mm),AP5 RTT(mm),AP1 RSS(dBm),AP2 RSS(dBm),AP3 RSS(dBm),AP4 RSS(dBm),AP5 RSS(dBm),LOS APs
0.0,1.0,4041.0,6823.0,11463.0,11355.0,19470.0,-50.0,-63.0,-64.0,-68.0,-70.0,1 2 3 4 5
0.0,1.0,4079.0,6996.0,12513.0,11191.0,19554.0,-50.0,-63.0,-67.0,-70.0,-70.0,1 2 3 4 5
0.0,1.0,4085.0,6637.0,12838.0,11470.0,19426.0,-50.0,-62.0,-65.0,-70.0,-71.0,1 2 3 4 5
0.0,1.0,4010.0,6827.0,12579.0,11548.0,19241.0,-52.0,-66.0,-64.0,-69.0,-72.0,1 2 3 4 5
0.0,1.0,4116.0,7043.0,12345.0,11426.0,19842.0,-51.0,-64.0,-63.0,-69.0,-68.0,1 2 3 4 5
0.0,1.0,3966.0,6858.0,12751.0,11419.0,18841.0,-50.0,-63.0,-65.0,-69.0,-71.0,1 2 3 4 5
0.0,1.0,4004.0,6860.0,12560.0,11351.0,19354.0,-50.0,-64.0,-65.0,-69.0,-70.0,1 2 3 4 5
0.0,1.0,3857.0,6797.0,12951.0,11616.0,19188.0,-50.0,-61.0,-67.0,-70.0,-71.0,1 2 3 4 5
0.0,1.0,4041.0,6951.0,12476.0,11423.0,19504.0,-51.0,-63.0,-64.0,-70.0,-70.0,1 2 3 4 5
0.0,1.0,4076.0,7038.0,13563.0,11391.0,19193.0,-50.0,-62.0,-63.0,-70.0,-71.0,1 2 3 4 5
0.0,1.0,3888.0,7073.0,12329.0,11535.0,18873.0,-50.0,-63.0,-65.0,-69.0,-68.0,1 2 3 4 5
0.0,1.0,4160.0,7038.0,12857.0,11654.0,19473.0,-52.0,-64.0,-63.0,-69.0,-70.0,1 2 3 4 5
0.0,1.0,3998.0,6989.0,12710.0,11498.0,19629.0,-52.0,-61.0,-63.0,-68.0,-71.0,1 2 3 4 5
0.0,1.0,4160.0,7012.0,12857.0,11229.0,19204.0,-51.0,-63.0,-61.0,-70.0,-70.0,1 2 3 4 5
0.0,1.0,3854.0,6900.0,12323.0,11388.0,19320.0,-51.0,-64.0,-62.0,-69.0,-71.0,1 2 3 4 5
0.0,1.0,3922.0,6752.0,11751.0,11348.0,19357.0,-50.0,-62.0,-62.0,-70.0,-71.0,1 2 3 4 5
0.0,1.0,3919.0,6883.0,13001.0,11538.0,19666.0,-50.0,-63.0,-63.0,-70.0,-71.0,1 2 3 4 5
0.0,1.0,3929.0,6900.0,12638.0,11276.0,19473.0,-51.0,-63.0,-62.0,-70.0,-70.0,1 2 3 4 5
0.0,1.0,3963.0,6839.0,11939.0,11529.0,19273.0,-50.0,-62.0,-62.0,-69.0,-70.0,1 2 3 4 5
0.0,1.0,4194.0,6827.0,11972.0,11629.0,19510.0,-52.0,-63.0,-62.0,-69.0,-71.0,1 2 3 4 5
