X,Y,AP1 RTT(mm),AP2 RTT(mm),AP3 RTT(mm),AP4 RTT(mm),AP5 RTT(mm),AP1 RSS(dBm),AP2 RSS(dBm),AP3 RSS(dBm),AP4 RSS(dBm),AP5 RSS(dBm),LOS APs
0.0,1.0,2204.0,6069.0,9001.0,10519.0,15691.0,-51.0,-61.0,-62.0,-66.0,-68.0,1 3 4
0.0,1.0,2129.0,6113.0,9010.0,11473.0,15813.0,-52.0,-62.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2142.0,6160.0,8966.0,11432.0,16029.0,-52.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2119.0,6123.0,8879.0,11469.0,15766.0,-52.0,-63.0,-64.0,-68.0,-69.0,1 3 4
0.0,1.0,2119.0,6163.0,8923.0,11145.0,16182.0,-51.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2254.0,6238.0,8923.0,11426.0,16076.0,-52.0,-62.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2201.0,6120.0,8998.0,11432.0,15616.0,-52.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2054.0,6201.0,9035.0,11388.0,15810.0,-52.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2085.0,6144.0,8929.0,10641.0,15998.0,-52.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2119.0,6113.0,8966.0,11354.0,16026.0,-51.0,-62.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2201.0,6107.0,9038.0,11497.0,16026.0,-51.0,-63.0,-64.0,-68.0,-69.0,1 3 4
0.0,1.0,2204.0,6119.0,8885.0,11494.0,16007.0,-51.0,-63.0,-64.0,-68.0,-69.0,1 3 4
0.0,1.0,2173.0,6029.0,8929.0,11391.0,15769.0,-51.0,-63.0,-64.0,-68.0,-69.0,1 3 4
0.0,1.0,2129.0,5951.0,8857.0,10788.0,15926.0,-51.0,-62.0,-64.0,-68.0,-69.0,1 3 4
0.0,1.0,2236.0,6104.0,9010.0,11501.0,16045.0,-51.0,-62.0,-64.0,-68.0,-69.0,1 3 4
0.0,1.0,2129.0,6113.0,9004.0,11473.0,15766.0,-51.0,-63.0,-64.0,-68.0,-69.0,1 3 4
0.0,1.0,2254.0,6076.0,9082.0,11391.0,16007.0,-51.0,-63.0,-64.0,-68.0,-69.0,1 3 4
0.0,1.0,2129.0,6163.0,9001.0,11541.0,15907.0,-52.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2166.0,6101.0,10004.0,11473.0,15694.0,-52.0,-62.0,-62.0,-68.0,-69.0,1 3 4
0.0,1.0,2207.0,6029.0,8894.0,11423.0,15732.0,-52.0,-62.0,-62.0,-68.0,-69.0,1 3 4
0.0,1.0,2088.0,6069.0,8923.0,11513.0,15804.0,-52.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2054.0,5998.0,9010.0,11548.0,15773.0,-52.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2294.0,6163.0,9120.0,11388.0,15773.0,-52.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2123.0,6160.0,9041.0,11473.0,15916.0,-52.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2129.0,6154.0,8929.0,11544.0,15769.0,-52.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2016.0,6238.0,9116.0,10907.0,15929.0,-51.0,-63.0,-63.0,-67.0,-69.0,1 3 4
0.0,1.0,2204.0,6191.0,8810.0,11582.0,15954.0,-51.0,-62.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2210.0,6066.0,8882.0,11929.0,15919.0,-51.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2201.0,6119.0,9010.0,11535.0,15769.0,-51.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2169.0,6932.0,9051.0,10632.0,15982.0,-51.0,-63.0,-64.0,-67.0,-69.0,1 3 4
0.0,1.0,2088.0,6191.0,9004.0,11548.0,16060.0,-52.0,-62.0,-63.0,-67.0,-68.0,1 3 4
0.0,1.0,2243.0,6226.0,8926.0,11588.0,15957.0,-52.0,-63.0,-64.0,-68.0,-69.0,1 3 4
0.0,1.0,2177.0,7904.0,9073.0,11463.0,15879.0,-51.0,-63.0,-64.0,-68.0,-69.0,1 3 4
0.0,1.0,2180.0,6123.0,8960.0,11538.0,15691.0,-51.0,-62.0,-64.0,-68.0,-69.0,1 3 4
0.0,1.0,2160.0,6041.0,9004.0,11576.0,15891.0,-52.0,-62.0,-64.0,-67.0,-69.0,1 3 4
0.0,1.0,2166.0,6201.0,9038.0,11473.0,15848.0,-52.0,-62.0,-64.0,-67.0,-69.0,1 3 4
0.0,1.0,2091.0,6269.0,8891.0,11510.0,15810.0,-52.0,-62.0,-65.0,-68.0,-69.0,1 3 4
0.0,1.0,2175.0,6266.0,8726.0,11585.0,16004.0,-51.0,-62.0,-65.0,-68.0,-69.0,1 3 4
0.0,1.0,2241.0,6154.0,8891.0,11551.0,16044.0,-51.0,-62.0,-65.0,-68.0,-69.0,1 3 4
0.0,1.0,2245.0,6038.0,9794.0,11548.0,15848.0,-52.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2160.0,6107.0,9048.0,11535.0,17201.0,-51.0,-62.0,-64.0,-68.0,-68.0,1 3 4
0.0,1.0,2266.0,6432.0,8969.0,11385.0,15879.0,-51.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2091.0,7856.0,8766.0,11515.0,15926.0,-52.0,-63.0,-64.0,-68.0,-69.0,1 3 4
0.0,1.0,2233.0,6194.0,8654.0,11572.0,15966.0,-52.0,-63.0,-64.0,-68.0,-69.0,1 3 4
0.0,1.0,2266.0,6301.0,9004.0,11647.0,16388.0,-52.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2132.0,6107.0,9082.0,11548.0,15888.0,-51.0,-62.0,-64.0,-68.0,-68.0,1 3 4
0.0,1.0,2144.0,6116.0,9010.0,11591.0,16210.0,-52.0,-62.0,-63.0,-67.0,-68.0,1 3 4
0.0,1.0,2095.0,6188.0,9241.0,11660.0,15766.0,-52.0,-63.0,-64.0,-68.0,-68.0,1 3 4
0.0,1.0,2132.0,6238.0,9232.0,11501.0,16260.0,-52.0,-63.0,-64.0,-68.0,-69.0,1 3 4
0.0,1.0,2241.0,6423.0,9082.0,11613.0,16007.0,-52.0,-63.0,-64.0,-68.0,-68.0,1 3 4
0.0,1.0,2129.0,6388.0,8920.0,11607.0,15957.0,-52.0,-63.0,-64.0,-67.0,-68.0,1 3 4
0.0,1.0,2241.0,6379.0,8882.0,11473.0,15963.0,-52.0,-63.0,-64.0,-68.0,-68.0,1 3 4
0.0,1.0,2129.0,6154.0,8954.0,11619.0,15963.0,-51.0,-63.0,-63.0,-67.0,-68.0,1 3 4
0.0,1.0,2123.0,6120.0,9079.0,11507.0,15945.0,-51.0,-63.0,-63.0,-68.0,-69.0,1 3 4
0.0,1.0,2154.0,6079.0,9085.0,11510.0,15982.0,-51.0,-63.0,-63.0,-67.0,-68.0,1 3 4
